Name,Price(EGP),Rate
Chalet At Wahet Al Nakhil resort,468,6.6
شاطيء النخيل,743,0.0
Riviera Apartment Montaza Resort Free WIFI -Seaview - Scenic views all Rooms - Housekeeping,891,7.3
شقه ڤيو كامل على البحر بميامي,892,0.0
Riviera Suite Montazah Palace - Free WIFI - Seaview - Housekeeping,1035,5.5
The Grand Plaza Hotel Smouha,1081,8.0
Cherry Maryski Hotel,1106,7.3
شقه فندقيه مكيفه بانوراما فيو رائع على البحر مباشر,1276,2.0
Eastern Al Montazah Hotel,1196,8.5
Stanley Bridge apartment Alexandria,1321,9.3
Sea View Haven In San Stefano,1390,8.8
Ajami Hotel Armed Forces Apartments,1444,5.5
HI Alexandria Apartments,1576,7.5
شقة فندقية مكيفة ميامي ع البحر مباشرةً,1761,8.3
Fourth star,1761,0.0
Tolip Hotel Alexandria,1808,7.6
City Square شقق مكيفة sea view امام the walk,1808,0.0
Downtown Sea View Suites,1854,9.0
Stunning Seaview Apartment,1854,5.0
Hilton Alexandria Green Plaza,1916,7.9
Royal Jewel Al Raml Hotel,1999,8.3
Al Raya Apartments,2008,8.4
Sheraton Montazah Hotel,2132,6.8
Romance Alexandria Hotel,2163,8.2
26th of July Apartments,2175,7.5
